dimensionless_current,dimensionless_Voltage
0.003,160
0.008,140
0.016,120
0.024,110
0.035,100
0.05,90
0.073,80
0.104,70
0.145,60
0.199,50
0.264,40
0.3,35
0.337,30
0.372,25
0.406,20
0.437,15
0.462,10
0.48,5
0.492,0
0.496,-5
0.4958,-5.34
0.493,-10
0.485,-15
0.472,-20
0.457,-25
0.441,-30
0.423,-35
0.406,-40
0.374,-50
0.323,-70
