E /V	I /uA	I /uA
0.257	-12.190	-9.037
0.256	-12.558	-9.409
0.255	-12.931	-9.786
0.254	-13.318	-10.177
0.253	-13.714	-10.586
0.252	-14.117	-11.001
0.251	-14.523	-11.417
0.250	-14.938	-11.844
0.249	-15.360	-12.284
0.248	-15.794	-12.732
0.247	-16.230	-13.185
0.246	-16.676	-13.642
0.245	-17.127	-14.106
0.244	-17.587	-14.577
0.243	-18.054	-15.051
0.242	-18.525	-15.536
0.241	-18.992	-16.026
0.240	-19.476	-16.522
0.239	-19.973	-17.026
0.238	-20.475	-17.540
0.237	-20.973	-18.059
0.236	-21.479	-18.584
0.235	-21.992	-19.115
0.234	-22.514	-19.650
0.233	-23.035	-20.191
0.232	-23.563	-20.737
0.231	-24.090	-21.287
0.230	-24.637	-21.837
0.229	-25.187	-22.392
0.228	-25.735	-22.950
0.227	-26.280	-23.508
0.226	-26.833	-24.071
0.225	-27.388	-24.635
0.224	-27.948	-25.202
0.223	-28.503	-25.773
0.222	-29.063	-26.344
0.221	-29.625	-26.919
0.220	-30.190	-27.490
0.219	-30.753	-28.061
0.218	-31.317	-28.626
0.217	-31.877	-29.190
0.216	-32.443	-29.753
0.215	-33.000	-30.314
0.214	-33.561	-30.873
0.213	-34.110	-31.428
0.212	-34.657	-31.984
0.211	-35.201	-32.539
0.210	-35.740	-33.086
0.209	-36.275	-33.627
0.208	-36.808	-34.160
0.207	-37.334	-34.688
0.206	-37.859	-35.210
0.205	-38.373	-35.728
0.204	-38.884	-36.237
0.203	-39.381	-36.736
0.202	-39.870	-37.232
0.201	-40.351	-37.715
0.200	-40.823	-38.189
0.199	-41.286	-38.650
0.198	-41.740	-39.103
0.197	-42.181	-39.544
0.196	-42.615	-39.977
0.195	-43.034	-40.390
0.194	-43.440	-40.798
0.193	-43.835	-41.200
0.192	-44.220	-41.586
0.191	-44.591	-41.948
0.190	-44.951	-42.295
0.189	-45.297	-42.632
0.188	-45.632	-42.960
0.187	-45.953	-43.270
0.186	-46.262	-43.566
0.185	-46.551	-43.842
0.184	-46.826	-44.120
0.183	-47.086	-44.382
0.182	-47.330	-44.623
0.181	-47.555	-44.838
0.180	-47.766	-45.042
0.179	-47.963	-45.236
0.178	-48.148	-45.416
0.177	-48.316	-45.577
0.176	-48.468	-45.721
0.175	-48.604	-45.853
0.174	-48.724	-45.976
0.173	-48.831	-46.078
0.172	-48.924	-46.168
0.171	-49.000	-46.238
0.170	-49.059	-46.296
0.169	-49.100	-46.334
0.168	-49.125	-46.359
0.167	-49.127	-46.370
0.166	-49.120	-46.365
0.165	-49.106	-46.351
0.164	-49.081	-46.327
0.163	-49.050	-46.290
0.162	-49.009	-46.241
0.161	-48.959	-46.179
0.160	-48.896	-46.107
0.159	-48.817	-46.017
0.158	-48.725	-45.922
0.157	-48.616	-45.818
0.156	-48.499	-45.701
0.155	-48.376	-45.574
0.154	-48.241	-45.438
0.153	-48.101	-45.296
0.152	-47.953	-45.146
0.151	-47.797	-44.989
0.150	-47.631	-44.824
0.149	-47.462	-44.650
0.148	-47.283	-44.473
0.147	-47.098	-44.290
0.146	-46.907	-44.098
0.145	-46.710	-43.901
0.144	-46.507	-43.698
0.143	-46.303	-43.493
0.142	-46.094	-43.284
0.141	-45.878	-43.074
0.140	-45.660	-42.861
0.139	-45.438	-42.645
0.138	-45.213	-42.427
0.137	-44.987	-42.208
0.136	-44.759	-41.988
0.135	-44.527	-41.764
0.134	-44.297	-41.537
0.133	-44.066	-41.310
0.132	-43.834	-41.081
0.131	-43.601	-40.853
0.130	-43.369	-40.623
0.129	-43.134	-40.393
0.128	-42.900	-40.163
0.127	-42.664	-39.933
0.126	-42.429	-39.701
0.125	-42.197	-39.462
0.124	-41.968	-39.235
0.123	-41.737	-39.012
0.122	-41.507	-38.782
0.121	-41.280	-38.549
0.120	-41.052	-38.318
0.119	-40.823	-38.093
0.118	-40.599	-37.870
0.117	-40.376	-37.644
0.116	-40.154	-37.419
0.115	-39.933	-37.197
0.114	-39.713	-36.989
0.113	-39.496	-36.781
0.112	-39.280	-36.568
0.111	-39.066	-36.355
0.110	-38.853	-36.149
0.109	-38.645	-35.945
0.108	-38.438	-35.744
0.107	-38.234	-35.541
0.106	-38.030	-35.342
0.105	-37.828	-35.145
0.104	-37.629	-34.953
0.103	-37.429	-34.760
0.102	-37.228	-34.571
0.101	-37.027	-34.383
0.100	-36.844	-34.198
0.099	-36.657	-34.012
0.098	-36.463	-33.830
0.097	-36.270	-33.649
0.096	-36.083	-33.470
0.095	-35.902	-33.295
0.094	-35.719	-33.123
0.093	-35.536	-32.952
0.092	-35.355	-32.782
0.091	-35.179	-32.614
0.090	-35.018	-32.447
0.089	-34.849	-32.280
0.088	-34.678	-32.116
0.087	-34.508	-31.955
0.086	-34.348	-31.799
0.085	-34.191	-31.642
0.084	-34.033	-31.486
0.083	-33.877	-31.337
0.082	-33.722	-31.187
0.081	-33.569	-31.042
0.080	-33.417	-30.895
0.079	-33.268	-30.750
0.078	-33.118	-30.609
0.077	-32.971	-30.472
0.076	-32.828	-30.337
0.075	-32.685	-30.198
0.074	-32.547	-30.063
0.073	-32.407	-29.931
0.072	-32.269	-29.801
0.071	-32.135	-29.672
0.070	-32.001	-29.543
0.069	-31.870	-29.413
0.068	-31.739	-29.289
0.067	-31.610	-29.167
0.066	-31.484	-29.045
0.065	-31.357	-28.925
0.064	-31.235	-28.807
0.063	-31.111	-28.691
0.062	-30.993	-28.579
0.061	-30.875	-28.465
0.060	-30.757	-28.352
0.059	-30.643	-28.239
0.058	-30.529	-28.127
0.057	-30.414	-28.017
0.056	-30.303	-27.908
0.055	-30.190	-27.795
0.054	-30.081	-27.695
0.053	-29.972	-27.597
0.052	-29.866	-27.493
0.051	-29.760	-27.385
0.050	-29.653	-27.280
0.049	-29.551	-27.179
0.048	-29.449	-27.075
0.047	-29.348	-26.974
0.046	-29.250	-26.873
0.045	-29.147	-26.776
0.044	-29.049	-26.694
0.043	-28.954	-26.605
0.042	-28.862	-26.509
0.041	-28.770	-26.415
0.040	-28.674	-26.324
0.039	-28.586	-26.237
0.038	-28.493	-26.145
0.037	-28.403	-26.053
0.036	-28.313	-25.968
0.035	-28.220	-25.883
0.034	-28.128	-25.799
0.033	-28.043	-25.715
0.032	-27.951	-25.632
0.031	-27.866	-25.554
0.030	-27.789	-25.477
0.029	-27.711	-25.398
0.028	-27.624	-25.319
0.027	-27.537	-25.242
0.026	-27.452	-25.165
0.025	-27.370	-25.087
0.024	-27.285	-25.011
0.023	-27.201	-24.936
0.022	-27.115	-24.862
0.021	-27.041	-24.789
0.020	-26.972	-24.716
0.019	-26.894	-24.640
0.018	-26.815	-24.568
0.017	-26.738	-24.496
0.016	-26.665	-24.426
0.015	-26.592	-24.357
0.014	-26.515	-24.290
0.013	-26.442	-24.225
0.012	-26.374	-24.161
0.011	-26.304	-24.097
0.010	-26.233	-24.035
0.009	-26.165	-23.971
0.008	-26.099	-23.906
0.007	-26.033	-23.844
0.006	-25.968	-23.783
0.005	-25.901	-23.720
0.004	-25.838	-23.658
0.003	-25.775	-23.598
0.002	-25.710	-23.537
0.001	-25.636	-23.475
0.000	-25.563	-23.411
0.001	-25.490	-23.341
0.002	-25.414	-23.270
0.003	-25.339	-23.201
0.004	-25.266	-23.133
0.005	-25.193	-23.066
0.006	-25.125	-23.000
0.007	-25.059	-22.938
0.008	-24.995	-22.876
0.009	-24.927	-22.815
0.010	-24.861	-22.754
0.011	-24.797	-22.692
0.012	-24.732	-22.633
0.013	-24.669	-22.578
0.014	-24.606	-22.515
0.015	-24.544	-22.454
0.016	-24.481	-22.401
0.017	-24.422	-22.347
0.018	-24.365	-22.284
0.019	-24.306	-22.224
0.020	-24.246	-22.167
0.021	-24.189	-22.110
0.022	-24.131	-22.053
0.023	-24.073	-21.993
0.024	-24.016	-21.931
0.025	-23.960	-21.875
0.026	-23.903	-21.823
0.027	-23.849	-21.767
0.028	-23.796	-21.707
0.029	-23.738	-21.656
0.030	-23.678	-21.602
0.031	-23.620	-21.549
0.032	-23.561	-21.497
0.033	-23.503	-21.442
0.034	-23.448	-21.393
0.035	-23.392	-21.341
0.036	-23.339	-21.290
0.037	-23.289	-21.241
0.038	-23.231	-21.190
0.039	-23.173	-21.142
0.040	-23.125	-21.091
0.041	-23.071	-21.038
0.042	-23.010	-20.988
0.043	-22.949	-20.935
0.044	-22.893	-20.885
0.045	-22.839	-20.835
0.046	-22.784	-20.784
0.047	-22.728	-20.734
0.048	-22.669	-20.685
0.049	-22.617	-20.638
0.050	-22.570	-20.589
0.051	-22.513	-20.536
0.052	-22.451	-20.487
0.053	-22.394	-20.434
0.054	-22.341	-20.382
0.055	-22.287	-20.329
0.056	-22.231	-20.274
0.057	-22.175	-20.222
0.058	-22.120	-20.171
0.059	-22.066	-20.120
0.060	-22.012	-20.068
0.061	-21.960	-20.020
0.062	-21.907	-19.971
0.063	-21.855	-19.920
0.064	-21.802	-19.869
0.065	-21.746	-19.815
0.066	-21.688	-19.759
0.067	-21.628	-19.706
0.068	-21.567	-19.650
0.069	-21.507	-19.599
0.070	-21.451	-19.546
0.071	-21.392	-19.492
0.072	-21.332	-19.438
0.073	-21.275	-19.383
0.074	-21.217	-19.326
0.075	-21.157	-19.266
0.076	-21.096	-19.204
0.077	-21.035	-19.145
0.078	-20.972	-19.086
0.079	-20.908	-19.030
0.080	-20.844	-18.967
0.081	-20.775	-18.902
0.082	-20.706	-18.838
0.083	-20.634	-18.771
0.084	-20.563	-18.699
0.085	-20.489	-18.632
0.086	-20.418	-18.570
0.087	-20.347	-18.504
