dimensionless_current,dimensionless_Voltage
0.009,120
0.020,100
0.042,80
0.084,60
0.117,50
0.138,45
0.160,40
0.185,35
0.211,30
0.240,25
0.269,20
0.298,15
0.328,10
0.350,5
0.380,0
0.400,-5
0.418,-10
0.432,-15
0.441,-20
0.445,-25
0.4463,-28.5
0.446,-30
0.442,-35
0.438,-40
0.421,-50
0.399,-60
0.353,-80
0.312,-100
0.280,-120
0.245,-150
